Id,Name,UnitPrice
446,Lab-Created Emerald Necklace with Diamonds 10K Yellow Gold,399.99
447,Diamond Star Necklace 1/2 ct tw Round-cut 10K Yellow Gold 20,779.99
448,"Beaded Cable Chain Necklace 14K Yellow Gold 16"" Length",399.99
449,"Disney Treasures Winnie the Pooh Diamond Necklace 1/20 ct tw Sterling Silver & 10K Yellow Gold 17""",349.99
450,Paw Print Necklace 1/10 ct tw Diamonds Sterling Silver/10K Gold,209.0
451,Triangle Necklace 14K Yellow Gold,499.99
452,Starfish Necklace Diamond Accents 10K Yellow Gold,249.0
453,"Le Vian Diamond Heart Necklace 1/4 ct tw 14K Honey Gold 18""",1099.99
454,"Curb Link Necklace 10K Two-Tone Gold 22"" Length",4299.99
455,"Cultured Pearl Necklace 1/15 ct tw Diamonds 14K Yellow Gold 17""",599.99
456,"Children's Cross Necklace 14K Yellow Gold 15""",149.99
457,"Diamond Fashion Necklace 1/3 ct tw Round-cut 10K Yellow Gold 18""",549.99
458,"Le Vian Diamond Butterfly Necklace 3/4 ct tw 14K Honey Gold 18""",2999.99
459,Lab-Created Emerald Necklace 1/6 ct tw Diamonds 10K Yellow Gold,599.99
460,Pisces Zodiac Necklace 1/10 ct tw Diamonds 10K Yellow Gold,329.0
461,Shipwheel & Compass Layered Necklace 14K Yellow Gold,699.99
462,Lab-Created Opal Necklace 1/20 ct tw Diamonds 10K Yellow Gold,499.99
463,Le Vian Cultured Pearl Necklace 1/4 ct tw Diamonds 14K Gold,1499.99
464,Bar Necklace 14K Yellow Gold,499.99
465,Citrine Necklace 1/15 ct tw Diamonds 10K Yellow Gold,299.99
466,Key Necklace 14K Yellow Gold,199.99
467,"Heart Paw Print Necklace 14K Yellow Gold 16""-18"" Adjustable",599.99
468,"""Love"" Necklace 14K Yellow Gold 16"" to 18"" Adjustable",399.99
469,Diamond Cross Necklace 10K Yellow Gold,339.0
470,Diamond Necklace 3/4 ct tw 10K Yellow Gold/Stainless Steel,599.6
471,Diamond Star Necklace 1/4 ct tw Round-cut 10K Yellow Gold,419.99
472,"Opal & Diamond Necklace 1/20 ct tw 10K Yellow Gold 18""",699.99
473,Le Vian Natural Emerald Necklace 1/5 ct tw Diamonds 14K Gold,1299.99
474,Le Vian Emerald Necklace 3/8 ct tw Diamonds 14K Honey Gold,1749.99
475,Diamond Cross Necklace 1/4 ct tw Round-cut 10K Yellow Gold,619.0
476,Leo Zodiac Necklace 1/10 ct tw Diamonds 10K Yellow Gold,329.0
477,Diamond Necklace 1/3 ct tw Round-cut 14K Yellow Gold,699.0
478,"Disney Treasures Mickey & Minnie Mouse Garnet & Diamond Necklace 1/8 ct tw Sterling Silver 17""",249.99
479,"Cultured Pearl & White Lab-Created Sapphire Vine Necklace Sterling Silver 18""",249.99
480,Amethyst Heart Necklace Diamond Accents Sterling Silver,129.99
481,Amethyst Heart Necklace Tanzanites & Diamonds 10K White Gold,599.99
482,Dog Necklace Lab-Created Sapphire Sterling Silver/10K Rose Gold,99.99
483,"Godiva x Le Vian Ruby Heart Necklace 3/8 ct tw Diamonds 14K Strawberry Gold 19""",1999.99
484,Unstoppable Love Necklace Lab-Created Sapphire Sterling Silver,149.99
485,Le Vian Quartz Boxed Set 14K Strawberry Gold-Electroplate,199.0
486,"Aquamarine & White Lab-Created Sapphire Necklace Sterling Silver 18""",69.99
487,"Amethyst & White Lab-Created Sapphire 'Mom' Heart Necklace Sterling Silver 18""",79.99
488,"Lab-Created Ruby & White Lab-Created Sapphire Heart Necklace Sterling Silver 18""",179.99
489,Amethyst & White Lab-Created Sapphire Boxed Set Sterling Silver,179.99
490,"Cultured Pearl & White Topaz Raindrop Necklace Sterling Silver 18""",129.99
491,Blue Topaz Necklace 1/10 ct tw Diamonds Sterling Silver,299.99
492,"Opal Necklace Diamond Accent 10K Rose Gold 18""",599.99
493,Lab-Created Opal and White Topaz Necklace Sterling Silver,249.99
494,"Lab-Created Emerald & White Lab-Created Sapphire Heart Necklace Sterling Silver 18""",99.99
495,"Children's Minnie Mouse Pink Cubic Zirconia Necklace 14K Yellow Gold 13""",199.99
496,Heart Necklace Lab-Created Sapphire Sterling Silver/10K Gold,129.99
497,Amethyst Necklace Sterling Silver,179.99
498,Citrine & Diamond Necklace Sterling Silver,179.99
499,Le Vian Morganite Necklace 1/10 ct tw Diamonds 14K Strawberry Gold,1299.99
500,"Amethyst & White Topaz Necklace Sterling Silver 18""",179.99
501,Amethyst Heart Necklace With Diamond Accent Sterling Silver,149.99
502,Love Necklace Lab-Created Ruby Sterling Silver,99.99
503,"Lab-Created Opal & White Lab-Created Sapphire 'Mom' Heart Necklace Sterling Silver 18""",79.99
504,Lab-Created Opal Circle Necklace Sterling Silver,179.99
505,Cultured Pearl Necklace Sapphires/Diamonds 10K White Gold,399.99
506,Peacock Necklace Blue & White Topaz Sterling Silver,129.99
507,"Forever Connected Diamond Necklace 1/3 ct tw Round/Princess 10K Yellow Gold 18""",799.99
508,"Forever Connected Diamond Necklace 1 ct tw Round/Pear 10K White Gold 18""",2499.99
509,"Encircled by Love Diamond Necklace 1/3 ct tw Round-cut 10K Yellow Gold 18""",999.99
510,"Disney Treasures Winnie the Pooh Diamond Necklace 1/6 ct tw 10K Two-Tone Gold 17""",419.99
511,"Disney Treasures Winnie the Pooh ""Eeyore"" Diamond Necklace 1/15 ct tw Sterling Silver & 10K Rose Gold 17""",349.99
512,"Diamond Solitaire Necklace 1/4 ct tw Round-cut 10K White Gold 18""",629.0
513,Angel Wing Necklace 1/10 ct tw Diamond Sterling Silver/10K Gold,189.0
514,Turtle Necklace 1/10 ct tw Diamonds 10K White Gold,299.0
515,"Forever Connected Diamond Necklace 1/5 ct tw Round/Pear Sterling Silver 18""",399.99
516,"Forever Connected Diamond Heart Necklace 1/4 ct tw Pear & Round-cut 10K White Gold 18""",699.99
517,"Forever Connected Diamond Necklace 1/4 ct tw Round/Pear 10K White Gold 18""",699.99
518,"Forever Connected Diamond Necklace 1/2 ct tw Round/Pear 10K White Gold 18""",1299.99
519,"Forever Connected Diamond Necklace 1 ct tw Round/Pear 10K White Gold 18""",2499.99
520,"Forever Connected Diamond Necklace 1/3 ct tw Round/Princess 10K Yellow Gold 18""",799.99
521,"Forever Connected Diamond Necklace 1/4 ct tw Pear/Round-Cut 10K White Gold 18""",699.99
522,"Forever Connected Diamond Necklace 1/3 ct tw Pear/Round-Cut 10K Yellow Gold 18""",799.99
523,"Forever Connected Diamond Necklace 1/4 ct tw Round-Cut 10K White Gold 18""",699.99
524,"Forever Connected Diamond Necklace 1 ct tw Round/Princess 10K White Gold 18""",2499.99
525,"Forever Connected Diamond Necklace 1/2 ct tw Round/Princess 10K White Gold 18""",1299.99
526,"Forever Connected Diamond Necklace 1 ct tw Round-Cut 14K White Gold 18""",2499.99
527,"Forever Connected Diamond Necklace 1/4 ct tw Princess/Round-Cut 10K White Gold 18""",699.99
528,"Forever Connected Diamond Necklace 1 ct tw Round/Pear 10K White Gold 18""",2499.99
529,"Forever Connected Diamond Necklace 1/2 ct tw Round/Pear 10K White Gold 18""",1299.99
530,"Forever Connected Diamond Necklace 1/2 ct tw Round-Cut 10K White Gold 18""",1199.99
531,"Disney Treasures The Nightmare Before Christmas Diamond Necklace 1/5 ct tw Sterling Silver & 10K Rose Gold 17""",0.0
532,"Disney Treasures 101 Dalmatians Black & White Diamond Necklace 1/10 ct tw Sterling Silver & 10K Rose Gold 17""",68.99
533,"Disney Treasures The Lion King Diamond Necklace 1/10 ct tw Sterling Silver & 10K Yellow Gold 17""",329.99
534,"Disney Treasures Winnie the Pooh ""Tigger"" Diamond Necklace 1/10 ct tw Sterling Silver & 10K Yellow Gold 17""",449.99
535,"Disney Treasures Mickey & Minnie Mouse Garnet & Diamond Necklace 1/8 ct tw Sterling Silver 17""",249.99
536,"Disney Treasures Winnie the Pooh Mother of Pearl & Diamond Heart Necklace 1/8 ct tw Sterling Silver & 10K Two-Tone Gold 17""",449.99
537,"Disney Treasures The Aristocats Diamond Necklace 1/10 ct tw Sterling Silver & 10K Rose Gold 17""",249.99
538,"Star Wars Grogu Necklace 1/10 ct tw Diamonds Sterling Silver 18""",299.99
539,"Disney Treasures Alice in Wonderland ""Cheshire Cat"" Diamond & Amethyst Necklace 1/10 ct tw Sterling Silver/10K Rose Gold",399.99
540,"Disney Treasures The Aristocats Diamond Necklace 1/10 ct tw Sterling Silver & 10K Rose Gold 18""",349.99
541,"Disney Treasures Mickey Mouse Lab-Created Opal & Diamond Necklace Sterling Silver 17""",0.0
542,"Disney Treasures Toy Story ""Jessie"" Diamond Necklace 1/15 ct tw Sterling Silver & 10K Rose Gold 17""",499.99
543,Unstoppable Love Necklace Lab-Created Sapphire Sterling Silver,149.99
544,"Unstoppable Love Necklace 1/10 ct tw Sterling Silver 19""",199.99
545,"Unstoppable Love Necklace 1/2 ct tw 10K White Gold 19""",1199.99
546,"Unstoppable Love Necklace 1/2 ct tw 10K White Gold 19""",1199.99
547,Unstoppable Love Heart Necklace Sterling Silver,79.99
548,Unstoppable Love Necklace Lab-Created Sapphires Sterling Silver,99.99
549,"Unstoppable Love Necklace 1 ct tw 14K White Gold 19""",2499.99
550,Unstoppable Love 1/6 ct tw Necklace Sterling Silver Angel,319.0
551,Unstoppable Love Necklace Amethyst Sterling Silver,149.99
552,Previously Owned Necklace 3/4 ct tw Diamonds 14K White Gold,659.7
553,Unstoppable Love 1/20 ct tw Necklace Sterling Silver Flamingo,149.0
554,Unstoppable Love 1/20 ct tw Necklace Sterling Silver Dog,0.0
555,"Unstoppable Love Ruby Necklace 1/10 ct tw Diamonds Sterling Silver 19""",199.99
556,Forever Connected Diamond Hoop Earrings 3/8 ct tw Princess/Round 10K Yellow Gold,999.99
557,Le Vian Diamond Hoop Earrings 1 ct tw Round-cut 14K Honey Gold,2799.99
558,Open Tube Twist Hoop Earrings 10K Yellow Gold,249.99
559,Twist Hoop Earrings 14K Yellow Gold,329.99
560,Diamond Hoop Earrings 1/2 ct tw Round-cut 10K White Gold,1199.99
561,Everything You Are Diamond Hoop Earrings 3/4 ct tw 10K White Gold,1299.99
562,Twist Hoop Earrings 14K Yellow Gold 20mm,249.99
563,Diamond Hoop Earrings 1/2 ct tw Round-cut 10K White Gold,599.99
564,Italian Oval Glitter Hoop Earrings 14K Yellow Gold,299.99
565,Diamond Hoop Earrings 1/10 ct tw Round-cut Sterling Silver,199.99
566,Continuous Hoop Earrings 14K Yellow Gold 30mm,199.99
567,Hoop Earrings Lab-Created Sapphires Sterling Silver,129.99
568,Diamond Hoop Earrings 1 ct tw Round-Cut Sterling Silver,199.99
569,Diamond Heart Hoop Earrings 1/4 ct tw Round-cut Sterling Silver,249.99
570,Diamond Hoop Earrings Sterling Silver,69.99
571,Children's Cubic Zirconia Huggie Earrings 14K Yellow Gold,129.99
572,Child's Hoop Earrings 14K Yellow Gold,39.99
573,Hoop Earrings 14K Yellow Gold,149.99
574,Hoop Earrings 14K Yellow Gold 18mm,79.99
575,Hoop Earrings 14K Yellow Gold 20mm,199.99
576,Etched Hoop Earrings 14K Yellow Gold 35mm,349.99
577,Woven Heart Hoop Earrings 14K Yellow Gold,199.99
578,Men's Diamond Huggie Earrings 1/3 ct tw Round/Baguette 10K Yellow Gold,699.99
579,Geometric Hoop Earrings 14K Yellow Gold,349.99
580,Oval Diamond Cut Hoop Earrings 14K Yellow Gold,249.99
581,Children's Butterfly Hoop Earrings 14K Yellow Gold,79.99
582,Stamped Textured Fashion Hoop Earrings 14K Yellow Gold,149.99
583,Hoop Earrings 14K Yellow Gold,46.99
584,Children's Hoop Earrings 14K Yellow Gold,34.99
585,Children's Small Hoop Earrings 14K Yellow Gold,79.99
586,Hoop Earrings 14K Yellow Gold 30mm,299.99
587,Stamped Textured Heart Hoop Earrings 14K Yellow Gold,99.99
588,Children's Hoop Earrings 14K Two-Tone Gold,54.99
589,Amethyst Dainty Hoop Earrings Sterling Silver,99.99
590,Hoop Earrings 14K Yellow Gold 25mm,499.99
591,Men's Diamond Angular Huggie Hoop Earrings 3/4 ct tw Round-cut 10K Yellow Gold,1399.99
592,Men's Diamond Ankh Earrings 1/4 ct tw Round-cut 10K Yellow Gold,599.99
593,Layered Three-Circle Drop Earrings 10K Yellow Gold,299.99
594,Drop Earrings 14K Yellow Gold,179.99
595,Opal & Diamond Earrings 1/20 ct tw 10K Yellow Gold,599.99
596,Brazilian Garnet Earrings 1/10 ct tw Diamonds 10K Yellow Gold,599.99
597,Lab-Created Ruby Earrings Lab-Created Sapphires Sterling Silver,89.99
598,Lab-Created Opal Lab-Created Sapphires Sterling Silver Earrings,129.99
599,Amethyst & White Lab-Created Sapphire Drop Earrings 10K Rose Gold,499.99
600,Le Vian Couture Diamond Earrings 18K Two-Tone Gold,34597.5
601,Flower Earrings 14K Yellow Gold,303.99
602,Lab-Created Ruby Earrings Sterling Silver 10K Yellow Gold,129.99
603,Le Vian Multi-Gemstone Earrings 1/10 ct tw Diamonds 14K Honey Gold,1139.99
604,Encircled by Love Diamond Stud Earrings 1/5 ct tw Round-cut 10K Yellow Gold,499.99
605,Encircled by Love Diamond Earrings 1/4 ct tw Round-cut 10K Rose Gold,499.99
606,Disney Treasures The Aristocats Diamond Earrings 1/10 ct tw Sterling Silver & 10K Rose Gold,249.99
607,Diamond Solitaire Earrings 1/4 ct tw Sterling Silver,379.0
608,Butterfly Earrings 14K Yellow Gold,192.99
609,Children's Stud Earrings Boxed Set 14K Yellow Gold,149.99
610,THE LEO Diamond Earrings 1/2 ct tw Round-cut 14K White Gold,1499.99
611,Le Vian Opal Earrings 1/5 ct tw Diamonds 14K Strawberry Gold,839.99
612,Le Vian Couture Diamond Earrings 18K Two-Tone Gold,34597.5
613,Le Vian Garnet Earrings 1/5 ct tw Diamonds 14K Strawberry Gold,839.99
614,Le Vian Denim Ombre Hoop Earrings 14K Vanilla Gold,1609.99
615,Le Vian Emerald Earrings 1/4 ct tw Diamonds 14K Honey Gold,1019.99
616,Le Vian Diamond Earrings 1-1/3 ct tw 14K Honey Gold,2309.99
617,Le Vian Diamond Earrings 3/8 ct tw 14K Honey Gold,1299.99
618,Le Vian Amethyst & Iolite Earrings 1/5 ct tw Diamonds 14K Strawbery Gold,779.99
619,Le Vian Chocolate Diamonds 1/4 ct tw Earrings 14K Honey Gold,1049.0
620,Laptop Lenovo IdeaPad Slim 3 15ALC6 R3 5300U/8GB/512GB/15.6''FHD/Win 11,1000.0
621,"Laptop Dell Inspiron 15 N3511 i3 1115G4/4GB/256GB/15.6""FHD/Win 11+Office HS 21",1200.0
622,"Laptop Dell Inspiron N3505 R3 3250U/8GB/256GB/15.6""FHD/Win 10/NK",900.0
623,Laptop Acer Aspire A315 57G 31YD i3 1005G1/4GB/256GB SSD/Nvidia MX330 2GB/Win10,856.0
624,Laptop Acer Aspire 3 A315-58-35AG i3 1115G4/4GB/256GB SSD/15.6''FHD/Win11,750.0
625,"Laptop Dell Inspiron N3502 Pentium N5030/4GB/128GB/15.6""HD/Intel HD/Win 10/NK",780.0
626,"Laptop HP 14s-cf2527TU i3-10110U/4GB/256GB/14.0""HD/Win 11",650.0
627,Laptop Asus Vivobook X415EA-EB935W i3 1115G4/8GB/256GB SSD/Win11,698.0
628,Laptop Asus VivoBook A415EA-EB1750W i3 1125G4/8GB/256GB SSD/Win11,897.0
629,Laptop Acer Aspire 3 A315-58-35AG i3 1115G4/4GB/256GB SSD/15.6''FHD/Win11,756.0
630,"Laptop Acer Aspire 3 A315-56-38B1 i3 1005G1/4GB/256GB/15.6""FHD/Win11",875.0
631,Laptop Lenovo IdeaPad Slim 3 15ALC6 R3 5300U/8GB/512GB/15.6''FHD/Win 11,968.0
632,"Laptop Lenovo IdeaPad Slim 3 15ITL6 i3 1115G4/8GB/512GB/15.6""FHD/Win 11",987.0
633,"Laptop HP 240 G8 Pentium N5030/4GB/256GB/14.0""HD/Win 10",987.0
634,iPhone 13 Pro Max 128GB,1020.0
635,Xiaomi Redmi Note 11S 6GB - 128GB,698.0
636,Samsung Galaxy S22 Ultra 5G 128GB,536.0
637,iPhone 11 64GB,365.0
638,OPPO Reno6 Z 5G,254.0
639,TECNO SPARK 7 2GB-32GB,354.0
640,Samsung Galaxy Z Fold3 5G 256GB,368.0
641,Vans UltraRange EXO Lace Up Sneaker,91.0
642,Women's Cole Haan GrandPro Tennis Sneaker,130.0
643,Men's Brooks Addiction Walker 2 Walking Sneaker,129.0
644,Women's Brooks Adrenaline GTS 21 Running Shoe,129.0
645,MEN DRY-EX Crew Neck Short Sleeve T-Shirt (Cotton Like),58.0
646,Uniqlo U AIRism Cotton Crew Neck Oversized T-Shirt,19.0
647,Diamond Promise Ring 1/5 carat tw 10K White Gold,599.0
648,Diamond Promise Ring 1/10 ct tw Baguette & Round-cut 10K White Gold,299.99
649,Diamond Oval Promise Ring 1/4 ct tw Round-cut Sterling Silver,349.99
650,Hallmark Diamonds Ring 1/5 ct tw Sterling Silver & 10K Rose Gold,449.99
651,1/10 Carat t.w. Diamond Promise Ring,116.32
652,1/20 Carat t.w. Black and white Diamond Promise Ring,122.0
653,Le Vian Tanzanite Ring 3/8 ct tw Diamonds 14K Vanilla Gold,1749.99
654,Le Vian Tanzanite Ring 1/2 ct tw Diamonds 14K Strawberry Gold,1499.99
655,Le Vian Grape Amethyst Ring 1/8 ct tw Diamonds 14K Strawberry Gold,1189.99
656,Emerald & 1/10 ct tw Diamond Ring 10K White Gold,999.99
657,Amethyst & White Topaz Ring 10K Rose Gold,699.99
658,Lab-Created Emerald Ring Diamond Accents 10K Yellow Gold,299.99
659,Amethyst & Diamond Twist Ring 1/10 ct tw 10K Rose Gold,599.99
660,Lab-Created Emerald Ring with Diamonds 10K Yellow Gold,279.99
661,Le Vian Morganite Ring 1 ct tw Diamonds 14K Strawberry Gold,1749.99
662,Blue Topaz Ring 1/15 ct tw Diamonds 10K White Gold,349.99
663,Diamond Eternity Ring 1 ct tw Round-cut 14K Yellow Gold,1599.2
664,Diamond Heart Necklace 10K Rose Gold,299.99
665,"Lab-Created Ruby & Lab-Created White Sapphire Heart Necklace Sterling Silver 18""",129.99
666,"Diamond Necklace 1/15 ct tw Sterling Silver/10K Rose Gold 18""",199.99
667,Whale Necklace 10K Yellow Gold,229.0
668,Le Vian Blue Topaz Necklace 1/3 ct tw Diamonds 14K Gold,899.99
669,"Everything You Are Diamond Necklace 3/4 ct tw 10K White Gold 18""",1999.99
670,The Pirates: The Last Royal Treasure,50.0
671,Howl’s Moving Castle,10.0
672,Spirited Away,12.0
673,Escape From Mogadishu,8.0
674,Don't Look Up,15.0
675,Red Notice,6.0
676,Miracle: Letters to the President,5.0
677,The Bombardment,2.0
678,The Weekend Away,3.0
679,Surviving Paradise: A Family Tale,4.5
680,레드슈즈,4.0
681,Minions,4.0
682,The Croods: A New Age,4.2
683,Mission: Impossible - Fallout,2.0
684,"The Gangster, The Cop, The Devil",1.0
685,The Notebook,1.0
686,About Time,2.0
687,Bird Box,1.0
688,Snowpiercer,2.0
689,Edge of Tomorrow,1.0
690,Ponyo,3.0
691,Escape Room,4.0
